"","ENST","ENSG","Symbol","Entrez"
"745","ENST00000633573","ENSG00000276371","SINHCAF",58516
"754","ENST00000614976","ENSG00000277442","NCR1",9437
"757","ENST00000610587","ENSG00000276882","KIR3DL2",3812
"759","ENST00000614231","ENSG00000275253","KIR2DS2",100132285
"760","ENST00000628408","ENSG00000281062","",NA
"764","ENST00000619683","ENSG00000275626","KIR3DL2",3812
"766","ENST00000625715","ENSG00000281496","",NA
"767","ENST00000614334","ENSG00000274449","",NA
"768","ENST00000627510","ENSG00000281617","ANKRD18DP",348840
"773","ENST00000611608","ENSG00000278809","KIR3DL2",3812
"775","ENST00000623039","ENSG00000279318","",NA
"776","ENST00000623898","ENSG00000278091","ZNF85",7639
"786","ENST00000629707","ENSG00000281753","",NA
"787","ENST00000630590","ENSG00000280541","FTCD-AS1",NA
"788","ENST00000622172","ENSG00000275887","KIR3DP1",NA
"790","ENST00000630343","ENSG00000281289","LSS",4047
"799","ENST00000628149","ENSG00000276938","",NA
"801","ENST00000618096","ENSG00000267237","",NA
"802","ENST00000613204","ENSG00000278817","",102724770
"803","ENST00000625858","ENSG00000281577","",NA
"804","ENST00000622463","ENSG00000278495","KIR2DL1",3802
"806","ENST00000611724","ENSG00000275546","KIR2DL2",3803
"807","ENST00000592994","ENSG00000267639","",NA
"808","ENST00000628723","ENSG00000281503","",NA
"809","ENST00000622163","ENSG00000274706","RNU6-821P",NA
"810","ENST00000612506","ENSG00000278747","",NA
"811","ENST00000617983","ENSG00000276017","",NA
"812","ENST00000633911","ENSG00000282388","",NA
"813","ENST00000630099","ENSG00000281157","ARHGEF26-AS1",100507524
"817","ENST00000632260","ENSG00000282551","",NA
"818","ENST00000632787","ENSG00000282176","",79857
"819","ENST00000575446","ENSG00000263322","",NA
"820","ENST00000631643","ENSG00000282112","DSEL-AS1",643542
"821","ENST00000572659","ENSG00000262102","DSEL",92126
"822","ENST00000629200","ENSG00000281020","SNTG2",54221
"826","ENST00000632199","ENSG00000282220","",NA
"828","ENST00000624784","ENSG00000279612","",NA
"829","ENST00000630089","ENSG00000277603","TPO",7173
"844","ENST00000622720","ENSG00000275321","",NA
"845","ENST00000624329","ENSG00000280428","BNIP3P24",NA
"846","ENST00000623538","ENSG00000280030","",NA
"847","ENST00000615930","ENSG00000275050","ZNF66",7617
"850","ENST00000619702","ENSG00000274402","KIR2DL3",3804
"851","ENST00000631207","ENSG00000281513","",NA
"852","ENST00000629915","ENSG00000281081","",NA
"853","ENST00000629146","ENSG00000281914","",NA
"854","ENST00000627048","ENSG00000280830","ADI1",NA
"855","ENST00000626713","ENSG00000281464","",NA
"858","ENST00000623152","ENSG00000279389","GARRE1",9710
"863","ENST00000629341","ENSG00000281048","",NA
"867","ENST00000619141","ENSG00000276209","KIR2DS4",3809
"869","ENST00000631231","ENSG00000274891","TRAPPC12",51112
"876","ENST00000633220","ENSG00000282469","LINC00254",64735
"878","ENST00000628115","ENSG00000280759","AP2A2",161
"900","ENST00000293937","ENSG00000276333","HS3ST6",64711
"901","ENST00000630275","ENSG00000275495","",NA
"914","ENST00000632442","ENSG00000282650","MEIOB",254528
"917","ENST00000618458","ENSG00000278288","LILRP2",79166
"919","ENST00000615403","ENSG00000275255","KIR3DP1",NA
"921","ENST00000617741","ENSG00000275637","NCR1",9437
"929","ENST00000575811","ENSG00000262860","LSM14A",26065
"937","ENST00000613010","ENSG00000274639","KIR3DL3",115653
"938","ENST00000618307","ENSG00000273528","LILRP2",79166
"940","ENST00000632534","ENSG00000282069","LINC02124",105371048
"941","ENST00000615147","ENSG00000278656","KIR3DL2",3812
"943","ENST00000630703","ENSG00000281104","",NA
"944","ENST00000630587","ENSG00000281870","",NA
"945","ENST00000628127","ENSG00000280892","",NA
"946","ENST00000621273","ENSG00000278116","",57292
"947","ENST00000622515","ENSG00000275486","KIR3DL1",3811
"948","ENST00000620545","ENSG00000275500","",NA
"949","ENST00000633031","ENSG00000282377","",NA
"951","ENST00000571104","ENSG00000262573","KRTAP9-2",83899
"952","ENST00000573261","ENSG00000263115","KRTAP9-10P",NA
"953","ENST00000570861","ENSG00000262896","KRTAP9-4",85280
"954","ENST00000611996","ENSG00000276327","KIR2DS1",3806
"955","ENST00000630900","ENSG00000280770","",NA
"956","ENST00000576511","ENSG00000263263","KRTAP9-6",100507608
"957","ENST00000618180","ENSG00000276582","ABCB11",8647
"959","ENST00000629827","ENSG00000281723","",NA
"960","ENST00000573531","ENSG00000262221","KRTAP9-7",100505724
"961","ENST00000574737","ENSG00000262542","KRTAP29-1",100533177
